,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,marque,modele
0,3,gas,std,two,convertible,rwd,front,2250.4399999999996,51.45024000000001,1.6281399999999997,1.23952,1155.752416,dohc,four,2.130323,mpfi,88.138,68.072,9.0,111,5000,11.200695238095237,8.711651851851851,12145.5,alfa-romero,giulia
1,3,gas,std,two,convertible,rwd,front,2250.4399999999996,51.45024000000001,1.6281399999999997,1.23952,1155.752416,dohc,four,2.130323,mpfi,88.138,68.072,9.0,111,5000,11.200695238095237,8.711651851851851,14850.0,alfa-romero,stelvio
2,1,gas,std,two,hatchback,rwd,front,2400.2999999999997,52.18176,1.6637,1.33096,1280.490216,ohcv,six,2.4908392000000004,mpfi,68.072,88.138,9.0,154,5000,12.379715789473684,9.046715384615384,14850.0,alfa-romero,Quadrifoglio
3,2,gas,std,four,sedan,fwd,front,2534.9199999999996,53.82768,1.68148,1.37922,1060.044504,ohc,four,1.7861939000000002,mpfi,81.026,86.36,10.0,102,5500,9.800608333333333,7.840486666666666,12555.0,audi,100ls
4,2,gas,std,four,sedan,4wd,front,2524.76,53.82768,1.68656,1.37922,1280.943808,ohc,five,2.2286456,mpfi,81.026,86.36,8.0,115,5500,13.067477777777777,10.691572727272726,15705.0,audi,100ls
5,2,gas,std,two,sedan,fwd,front,2534.9199999999996,54.04104000000001,1.6840199999999999,1.34874,1137.155144,ohc,five,2.2286456,mpfi,81.026,86.36,8.5,110,5500,12.379715789473684,9.408584,13725.0,audi,fox
6,1,gas,std,four,sedan,fwd,front,2687.3199999999997,58.73496,1.81356,1.41478,1290.015648,ohc,five,2.2286456,mpfi,81.026,86.36,8.5,110,5500,12.379715789473684,9.408584,15939.0,audi,100ls
7,1,gas,std,four,wagon,fwd,front,2687.3199999999997,58.73496,1.81356,1.41478,1339.910768,ohc,five,2.2286456,mpfi,81.026,86.36,8.5,110,5500,12.379715789473684,9.408584,17028.0,audi,5000
8,1,gas,turbo,four,sedan,fwd,front,2687.3199999999997,58.73496,1.81356,1.41986,1399.784912,ohc,five,2.1467101000000004,mpfi,79.502,86.36,8.3,140,5500,13.83615294117647,11.760729999999999,21487.5,audi,4000
9,0,gas,turbo,two,hatchback,4wd,front,2527.2999999999997,54.31536,1.72466,1.3208,1384.816376,ohc,five,2.1467101000000004,mpfi,79.502,86.36,7.0,160,5500,14.7009125,10.691572727272726,16073.250300000002,audi,5000s
10,2,gas,std,two,sedan,rwd,front,2570.48,53.88864000000001,1.6459199999999998,1.37922,1086.35284,ohc,four,1.7698068000000002,mpfi,88.89999999999999,71.11999999999999,8.8,101,5800,10.226721739130435,8.110848275862068,14787.0,bmw,320i
11,0,gas,std,four,sedan,rwd,front,2570.48,53.88864000000001,1.6459199999999998,1.37922,1086.35284,ohc,four,1.7698068000000002,mpfi,88.89999999999999,71.11999999999999,8.8,101,5800,10.226721739130435,8.110848275862068,15232.5,bmw,320i
